Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
09:12:15 21:54:52,shava23,In the US? Netizen? Support AU to keep their Internet free. Trend it! #eff #p2 #tcot #netneutrality rally for #nocleanfeed,2,0,0,0,en,"Fremont, CA","['eff', 'p2', 'tcot', 'netneutrality', 'nocleanfeed']"
09:12:15 20:45:20,Vanderdecken,"@jonathancoulton: FYI #EFF used ""I Hate California"" as the soundtrack to their promo vid with @donttrythis & @doctorow. http://bit.ly/5wZyPP",0,0,0,0,en,United Trash Fire of Britain,['EFF']
09:12:15 18:47:20,mgifford,.@doctorow congrats on being featured as one of #EFF's Featured Famous Friends of Freedom! http://www.eff.org,0,0,0,0,en,"Ottawa, Canada",['EFF']
09:12:15 07:47:59,P_Smoov,"I'm mad @iamsp3cial  and @Nycboi2nv  both stopped talkin to me, and started talkin to each otha, #eff yall too. *middle finga up*",0,0,0,0,en,904,['eff']
09:12:15 05:37:39,Cortneisays,RT @   #EFF Tiger Woods!!! Making all the other men look bad!! Ol cheatin a** nigga!! ...#keepITinURpantsBRUHbruh!!! - hahah u stupid,0,0,0,0,en,middle-earth ,"['EFF', 'keepITinURpantsBRUHbruh']"
09:12:15 04:43:30,dfjkl,#EFF on new settings.  http://www.eff.org/deeplinks/2009/12/facebooks-new-privacy-changes-good-bad-and-ugly,0,0,0,0,en,,['EFF']
09:12:15 02:03:05,_iamtonyredd,I have half a mind to say #eff studying and get my money back for these books! Im broke!,0,0,0,0,en,"Michigan, USA",['eff']
09:12:14 22:13:14,collinlp,Obama Admin Will Restore Missing Bush Admin Emails http://bit.ly/5bbEuW #tcot #tlot #c4l #teaparty #transparency #accountability #eff,0,0,0,0,en,"Collin County, TX, USA","['tcot', 'tlot', 'c4l', 'teaparty', 'transparency', 'accountability', 'eff']"
09:12:14 22:08:04,EFF_TOSBack,Policy change: Automattic WordPress.com Terms Of Service http://is.gd/5nETC #tosback #eff,0,0,0,0,en,,"['tosback', 'eff']"
09:12:14 16:31:48,LIVEwithBritt,"#eff da shoutouts lol! that aint no real damn love! FAKE FAKE FAKE! I can't wait till it end,u will never here the end from me LMFAO @GAWGES",0,0,0,0,en,,['eff']
09:12:14 16:21:04,Digital_Defense,Google CEO Eric Schmidt Dismisses the Importance of Privacy (Via EFF) http://bit.ly/6cJiSo #privacy #google #eff,2,0,0,0,en,"San Antonio, Texas U.S.A","['privacy', 'google', 'eff']"
09:12:14 05:06:54,DyspepticWesley,@feliciaday #eff #mycharity,0,0,0,0,qme,,"['eff', 'mycharity']"
09:12:14 03:24:51,LIVEwithBritt,kris always doing some #eff up shit to #khloe all them get on my nerves except Kourtney,0,0,0,0,en,,"['eff', 'khloe']"
09:12:14 02:54:35,SouLBraV,RT @DaTBoiiJay: slow&steady wins this race #EFF! leading @wale,0,0,0,0,en,DMV,['EFF']
09:12:13 23:26:01,LIVEwithBritt,@joni_mac WHO THE #EFF IS BROTTANY???LOL,0,0,0,0,en,,['EFF']
09:12:13 22:48:11,donaldjoseph_,RT @SOoPOSh_SOoCHic: @djo3sph Lmao!! #eff u Donald iAm a good girl ido no such things I'm saving myself until marriage :)«-#stopit!,0,0,0,0,en,"San Diego, CA","['eff', 'stopit']"
09:12:13 22:42:37,LIVEwithBritt,@joni_mac I don't :-( #eff katrina,0,0,0,0,en,,['eff']
09:12:13 17:50:21,lockinout,YES!! IT'S BACK!!!!! CARL http://video.adultswim.com/carl/carls-pick-bengals-vs-vikings.html?cid=FB1209_CARL AQUA TEENS #eff RT - @TRUMBULL,0,0,0,0,en,Boston,['eff']
09:12:13 17:16:00,TRUMBULL,YES!!!!! IT'S BACK!!!!! CARL http://video.adultswim.com/carl/carls-pick-bengals-vs-vikings.html?cid=FB1209_CARL AQUA TEENS #eff,0,0,0,0,en,Brooklyn World,['eff']
09:12:13 16:12:10,canadiancat,The electronic wild west is being encircled by increasing #enforcement online. @nytimes http://tiny.cc/fMjnU #copyright #eff #protests,0,0,0,0,en,"Amsterdam, The Netherlands","['enforcement', 'copyright', 'eff', 'protests']"
09:12:13 03:53:02,sunny_nyc,that coversation got really weird really fast.. #eff'nhilarious,0,0,0,0,en,NY • DC,['eff']
09:12:13 00:32:47,cosmorgpolitan,Man #eff Victoria's Secret for taking away UMD from their PINK collection ... no MD schools have it.,0,0,0,0,en,"Maryland, USA",['eff']
