Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
09:07:18 18:47:19,jockravez,"Me gusta lo que se hace en la Asamblea Nacional Ciudadana; diversidad de ideas, mucha discusión http://bit.ly/FB9Ig  #ANC",0,0,0,0,es,Everywhere but home,['ANC']
09:07:18 18:47:09,ontobelli,RT @Linnk: ¡Reunión the Twitters del #anc a la salida! :) #anc,0,0,0,0,es,Pareidolia,"['anc', 'anc']"
09:07:18 18:43:58,ontobelli,Para seguir la Asamblea por Internet pueden hacerlo en #ElEnjambre http://ustre.am/4bsh o en UStream http://bit.ly/FB9Ig #ANC #VotoNulo,0,0,1,0,es,Pareidolia,"['ElEnjambre', 'ANC', 'VotoNulo']"
09:07:18 18:42:53,EMarchita,"Lleyendo la mesa cada uno de los acuerdos para definir cuáles se discuten. Si hay 18 votos en contra, se discutirán. #anc #votomx",0,0,0,0,es,México,"['anc', 'votomx']"
09:07:18 18:42:31,Linnk,¡Reunión the Twitters del #anc a la salida! :) #anc,0,0,0,0,es,Seattle / Guadalajara,"['anc', 'anc']"
09:07:18 18:40:31,Linnk,"Deberían poner en pantalla a Twitter, la participación seria mucho mas eficiente #ANC",0,0,0,0,es,Seattle / Guadalajara,['ANC']
09:07:18 18:37:19,EMarchita,Twitteros en la #anc #votonulo @alconsumidor @andreslajous @EMarchita @Linnk @Othaner @jockravez @jmtomasena @maiteazuela ¿hay más?,0,0,0,0,es,México,"['anc', 'votonulo']"
09:07:18 18:35:27,EMarchita,Se reinicia la #anc. Alberto Serdán hace consideraciones en torno a mociones.,0,0,0,0,es,México,['anc']
09:07:18 18:35:01,ontobelli,"El poder del Voto Nulo está en los ciudadanos, no en las organizaciones. Estas pueden coadyuvar pero no debe ser clientelar #ANC",0,0,0,0,es,Pareidolia,['ANC']
09:07:18 18:33:06,ontobelli,Lo que evita que el movimiento y las cabezas visibles se corrompan es precisamente mantenerlo diversificado y a nivel individual #ANC,0,0,0,0,es,Pareidolia,['ANC']
09:07:18 18:31:50,andreslajous,a mí me gusta la #anc es un ejercicio democrático. La mesa de moderadores en afán de aclarar y mejorar su propuesta pidió un timeout.,0,0,0,0,es,Ciudad de México,['anc']
09:07:18 18:31:30,EMarchita,Hey #ElEnjambre La mesa de moderadores enfocada #anc  (ElEnjambre live &gt; http://ustre.am/4bsh),0,0,0,0,ca,México,"['ElEnjambre', 'anc']"
09:07:18 18:29:48,andreslajous,"RT @EMarchita: RT @ACIDminds Pensando en VotoNulo como manejo de marca, se me hace un error cambiarle el nombre... no así... #anc",0,0,0,0,es,Ciudad de México,['anc']
09:07:18 18:29:46,EMarchita,Hey #ElEnjambre Receso ante las mociones presentadas en cómo tratar las conclusiones de mesas #anc  (ElEnjambre live &gt; http://ustre.am/4bsh),0,0,0,0,es,México,"['ElEnjambre', 'anc']"
09:07:18 18:29:00,EMarchita,"RT @ACIDminds Pensando en VotoNulo como manejo de marca, se me hace un error cambiarle el nombre... no así... #anc",0,0,0,0,es,México,['anc']
09:07:18 18:28:12,ACIDminds,#anc está en UStream http://bit.ly/FB9Ig,0,0,0,0,es,"Guadalajara, MX. ",['anc']
09:07:18 18:27:28,ACIDminds,"Pensando en VotoNulo como manejo de marca, se me hace un error cambiarle el nombre... no así... #anc",0,0,0,0,es,"Guadalajara, MX. ",['anc']
09:07:18 18:25:05,EMarchita,Hey #ElEnjambre En mociones de procedimiento. #anc  (ElEnjambre live &gt; http://ustre.am/4bsh),0,0,0,0,es,México,"['ElEnjambre', 'anc']"
09:07:18 18:23:26,jockravez,el grupo de foco nunca voto a favor de que se constituyera como una organización jurídica... #anc,0,0,0,0,es,Everywhere but home,['anc']
09:07:18 18:22:50,EMarchita,Vaca también es otro nombre de #votonulo #votomx #anc ¡Espero que no se me haya ido algún grupo!,0,0,0,0,es,México,"['votonulo', 'votomx', 'anc']"
09:07:18 18:18:22,jmtomasena,@Othaner Estas en la #anc?,0,0,0,0,es,"Barcelona, España",['anc']
09:07:18 18:17:46,ontobelli,RT @ACIDminds Comienza la plenaria de #ANC en UStream http://ustre.am/4bsh | #VotoNulo,0,0,0,0,es,Pareidolia,"['ANC', 'VotoNulo']"
09:07:18 18:16:45,EMarchita,RT @andreslajous está empezando la primera sesión plenaria sobre la forma de articulación del movimiento #anc,0,0,0,0,es,México,['anc']
09:07:18 18:16:04,EMarchita,Leyendo Brando Flores acuerdos de la mesa dinosaurio #anc #votomx,0,0,0,0,es,México,"['anc', 'votomx']"
09:07:18 18:15:44,andreslajous,está empezando la primera sesión plenaria sobre la forma de articulación del movimiento #anc,0,0,0,0,es,Ciudad de México,['anc']
09:07:18 18:14:50,ontobelli,RT @EMarchita Margarita Sierra al micrófono. Pide flexibilidad y alegría para escuchar. #anc (ElEnjambre live &gt; http://ustre.am/4bsh),0,0,0,0,es,Pareidolia,['anc']
09:07:18 18:13:18,ACIDminds,RT @Othaner: Sesión plenaria del #anc #anca como articular la continuidad del movimiento?,0,0,0,0,es,"Guadalajara, MX. ","['anc', 'anca']"
