Datetime,Text,Username,Retweets,Location,Hashtags
17:12:31 13:54:19,"@AuthorShout #coverwars It Happened at the Park is up for #cover of the week. Please #vote daily, no sign up needed. https://t.co/7nC28WSVUY All votes appreciated.",RyanJoSummers,1,,"['coverwars', 'cover', 'vote']"
17:12:31 13:46:28,"i think i should be friends with this dude so i could borrow his ps4 and play persona 5, y/n? #vote #polls",casapeno,0,at your girl's house ,"['vote', 'polls']"
17:12:31 13:32:28,"#BlueWave2018 
#EducateYourself soyou can #vote with #knowledge and #Facts ! 
#TheResistance 
#StrongerTogether https://t.co/LDo6zQoOyk",shashatheitch22,0,The Milky Way via Wakanda🙅🏾‍,"['BlueWave2018', 'EducateYourself', 'vote', 'knowledge', 'Facts', 'TheResistance', 'StrongerTogether']"
17:12:31 13:32:11,@cinderellahill  #vote https://t.co/DtEkbqZC9P,Canda98,0,Wherever I want to be,['vote']
17:12:31 13:30:38,Take a moment and help this person out with a #vote. Click on this post for details! Cameraland wedstrijd - The post Cameraland wedstrijd appeared first on Get Online Votes. https://t.co/ECjEuUmUTl,GetOnlineVotes,0,Worldwide,['vote']
17:12:31 13:30:05,"Tune in https://t.co/ytdertc5Ry NOW:On this night, after waiting 244 years, we watched, prayed&amp; sang all night. Discussing a tumultuous year. What could this wave of Democratic victories mean?What are the BIGGEST stories of this year? #KHA #EmancipationProclamation #Justice #Vote https://t.co/0hj8bIO7Fx",RevJJackson,15,Chicago,"['KHA', 'EmancipationProclamation', 'Justice', 'Vote']"
17:12:31 13:29:51,@realDonaldTrump We’ve pushing a #bluewave across the country taking all the GOP seats thanks to you. Now they have a great future - and just beginning! #Resistance #Vote #VaWasJusttheStart https://t.co/AabO70rCtn,shehulkjd,1,"Richmond, Va, USA","['bluewave', 'Resistance', 'Vote', 'VaWasJusttheStart']"
17:12:31 13:29:27,"TODAY is the last day to vote for the 2018 #BestOfManayunk competition and we still need your vote for ""Best Calorie Killer Workout""! #Vote for us today at https://t.co/nlCSgu4jSy! Voting ends TODAY so don't wait, #votenow! #Thankyou for your support! #VotingEndsTODAY #Manayunk https://t.co/0tXfa9Xmf8",Merge_Dance,0,"Philadelphia, PA","['BestOfManayunk', 'Vote', 'votenow', 'Thankyou', 'VotingEndsTODAY', 'Manayunk']"
17:12:31 13:24:01,@marcatribun #vote CEDI OSMAN,iksloli,0,"Kadıköy, İstanbul",['vote']
17:12:31 13:20:15,"*** LAST DAY TO ENTER - 12/31/17 *** 
#EnterToWin ""The Year in Moo, A Contest for You and a Friend, Too!"" here: &gt;&gt; https://t.co/Sk4Xw2FpJB  &lt;&lt; Ends 12/31/17 #DailyMoo @cabotcheese #giveaway #contest #vote #enter #win RT",MariasMusings,0,"Illinois, USA","['EnterToWin', 'DailyMoo', 'giveaway', 'contest', 'vote', 'enter', 'win']"
