,Text,Datetime,Location,Hashtags
1263,breaking news shocking claims votebuying made several leaders including zikalala mathews phosa call full investigation bidvest provided funding hotel rooms sacp even admits providing pocket money votebuying corruption,17:12:17 23:44:34,South Africa,"['VoteBuying', 'VoteBuying', 'Corruption']"
1264,breaking news sihle zikalala accuses bidvest using money paid hotel rooms buy influence delegates bidvest allegedly booked hotel monte casino certain delegates call investigation votebuying corruption,17:12:17 23:36:52,South Africa,"['VoteBuying', 'Corruption']"
1265,freefall tipping point turning point politics corruption 1,17:12:17 23:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1266,thiefinchief zuma corruption leadership 0,17:12:17 22:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1267,thiefinchief zuma corruption leadership 22,17:12:17 20:40:08,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1268,thiefinchief zuma corruption leadership 20,17:12:17 18:40:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1269,stuff exasperates racialdivide pretty sure average mean mode southafrican wishes justice broad concept corruption country democracy accountability ruleoflaw freepress stability,17:12:17 17:05:22,South Africa ,"['RacialDivide', 'SA', 'SouthAfrican', 'Corruption', 'Democracy', 'Accountability', 'RuleOfLaw', 'FreePress', 'Stability']"
1270,thiefinchief zuma corruption leadership 19,17:12:17 17:05:09,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1271,corruption zumamustgo whatawanker,17:12:17 16:46:05,"Cape Town, South Africa","['corruption', 'zumamustgo', 'whatawanker', 'anc']"
1272,mantashe said press conference fall apart hes partly right something cannot fall apart already fallen apart anc53 ancelectiveconference2017 democracy zuma corruption,17:12:17 15:54:51,South Africa,"['Mantashe', 'ANC53', 'ANCElectiveConference2017', 'Democracy', 'Zuma', 'Corruption']"
1273,thiefinchief zuma corruption leadership 17,17:12:17 15:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1274,thiefinchief zuma corruption leadership 15,17:12:17 13:10:08,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1275,thiefinchief zuma corruption leadership 14,17:12:17 12:25:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1276,breaking news emerged bidvest booked several rooms behalf delegates condemned various sources well political observers clear capitalist interests agenda influence corruption,17:12:17 11:18:07,South Africa,"['Capitalist', 'Corruption']"
1277,thiefinchief zuma corruption leadership 12,17:12:17 10:35:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1278,freefall tipping point turning point politics corruption 11,17:12:17 09:35:05,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1279,corruption zuma cronies called another office ancconference2017 statecapture corruption,17:12:17 09:07:02,South Africa,"['ANCConference2017', 'StateCapture', 'Corruption']"
1280,colourcoding comes greed corruption statecapture steinhofffraud steinhoff,17:12:17 08:52:30,South Africa,"['ColourCoding', 'Greed', 'Corruption', 'StateCapture', 'SteinhoffFraud', 'Steinhoff']"
1281,colourcoding comes greed corruption statecapture,17:12:17 08:33:20,South Africa,"['ColourCoding', 'Greed', 'Corruption', 'StateCapture']"
1282,ancyl leader condemns media courts cr17 wmc doesnt condemn corruption guptas rocketscientist,17:12:17 08:10:37,South Africa,"['ANCYL', 'CR17', 'WMC', 'Corruption', 'Guptas', 'rocketscientist']"
1283,thiefinchief zuma corruption leadership 10,17:12:17 08:10:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1284,wierzycka dont agree least balls take corruption going take millions rands legal costs fight battle stood stop winging kak support cause better future,17:12:17 07:23:28,"Cape Town, South Africa","['Corruption', 'SouthAfrica']"
1285,wierzycka thank taking massive task corruption true hero salute support hawks npa etc captured people take back,17:12:17 07:03:19,"Cape Town, South Africa","['Corruption', 'SouthAfrica', 'Hawks', 'NPA', 'captured', 'SouthAfrica']"
1286,thiefinchief zuma corruption leadership 7,17:12:17 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1287,freefall tipping point turning point politics corruption 4,17:12:17 02:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1288,thiefinchief zuma corruption leadership 2,17:12:17 00:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1289,freefall tipping point turning point politics corruption 1,17:12:16 23:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1290,thiefinchief zuma corruption leadership 0,17:12:16 22:55:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1291,thiefinchief zuma corruption leadership 22,17:12:16 20:40:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1292,didnt hecorruption,17:12:16 19:35:02,"Johannesburg, South Africa",['Corruption']
1293,thiefinchief zuma corruption leadership 20,17:12:16 18:40:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1294,steinhoff deloitte white monopoly pay freehighereducation money stole corruption,17:12:16 17:22:22,"Soshanguve, South Africa","['FreeHigherEducation', 'corruption']"
